18816	624741	543543	22507	92140
259505	468618	686109	38624	431236
994678	603342	154318	251190	344586
169472	1552	913008	932770	37484
616621	167459	625948	424346	493740
376734	981886	265638	954458	415610
993003	62931	98529	448002	487292
77009	101476	884963	74743	694758
933992	906868	118769	144711	116125
245248	957030	295731	376263	906625
843796	603965	921573	472709	1835
974478	829913	933731	849393	383542
98302	34205	329590	948898	813969
305741	698074	635740	264688	740571
22073	267068	617691	741288	296156
423161	612670	281280	2913	188924
847241	646348	862631	897414	762951
270698	665026	365418	441849	977263
415973	144439	235589	291275	423324
859490	745604	989530	271604	440193
698192	74952	559509	318514	781226
456630	507116	219912	527997	144807
962013	677468	504361	334500	637679
320973	659563	913865	272477	819621
967888	599292	509632	735317	780230
668442	252825	76288	993444	603241
852369	736574	559151	142937	138191
862294	565930	494111	620881	845001
349729	924181	729578	527205	547569
886292	354389	305446	606334	858585
172697	422526	316861	411037	476533
520886	24621	122232	224921	827419
915286	738035	257204	346004	182340
583873	859769	113866	425089	111490
246930	303437	924886	560432	387174
258540	828523	331715	856390	712987
955850	93983	423362	660701	260068
281839	455587	970370	225726	854473
893817	245233	685387	811296	260874
258914	457274	771681	788625	516172
626951	320540	284955	15700	847530
682890	885151	297403	815225	287048
818339	722023	592094	686471	509794
697192	156943	109509	601174	177919
583578	119519	135204	431558	389914
296419	884764	949360	663192	415358
873903	544674	611972	46834	941060
320015	100461	914990	730098	774313
580317	369942	629942	611801	84047
663985	89264	770732	870547	936241
418468	760283	531137	188240	695616
145732	36219	911440	975718	979553
652188	850940	961684	133027	129096
315302	876697	682821	598159	126650
265944	996478	459596	381737	538681
653056	144745	230892	846697	124926
735829	815184	651251	74517	274199
415242	182391	845877	790356	677670
43899	569709	240201	705546	169653
202832	164989	79237	432186	129269
885965	750547	158712	847260	762189
248052	780799	138479	390490	759404
742595	863166	882042	476146	81932
203722	948636	442216	429318	401983
945123	20928	711479	476948	86627
760007	528664	116803	77856	108204
30700	94095	992819	533822	807736
872359	826290	248965	951297	723960
318932	481703	821214	939742	360747
596880	578758	217193	505431	560494
796508	706664	404750	665938	574613
517042	991469	212416	995555	114816
867345	84574	988084	947371	581052
371961	452845	129402	744559	205246
668970	123863	702707	598020	521020
173468	151097	71203	54765	468068
742719	836902	866910	510996	315321
79104	450901	991026	875737	870199
584874	406743	45012	83073	470722
151728	365352	747523	963793	498752
686647	43359	820265	942072	394987
802492	648840	206497	495337	695832
628382	544193	689797	840059	213010
833430	702102	191404	953645	550490
735063	892663	954280	893808	554699
814827	195130	286046	653868	700796
811584	321745	391275	743481	252790
713669	675009	230740	883030	283676
887873	308058	274156	448509	372253
484112	470501	989414	300845	96345
116099	321829	606760	702676	37369
