12634	36828
387223	966104
937655	775556
750067	916366
36593	843921
205798	22608
151928	606493
490297	887550
127872	194478
152661	675064
12379	58095
456970	942832
466952	523763
42526	547558
814192	813620
551178	770357
560081	372015
315144	160007
424894	956143
279239	587446
800074	474441
190446	597191
357658	626915
662685	509594
805979	428286
161960	475241
855983	436812
659875	17212
677324	676326
476334	21437
221427	591879
720641	35882
818276	553587
233217	364450
221337	18486
395271	919976
778239	410672
355954	757927
345365	902225
544986	242269
973763	423798
52151	308468
871935	128484
278111	961605
413561	236775
524830	393497
450804	634838
352293	204697
729208	53232
637358	653234
218828	285080
266012	677152
532369	503254
72805	290707
654305	995479
245622	211561
516808	668782
941183	708884
735143	341052
65349	994147
309777	654716
297260	248926
996324	46949
219037	872891
303461	855412
495759	26469
404017	137141
42373	145985
934109	612480
518858	839991
409956	134900
64465	969430
115660	395516
741196	858739
585029	78993
674039	319733
339084	846181
986140	296801
464162	232756
38569	55955
410612	729350
143237	411551
446758	337825
415702	679776
709892	571285
297100	838526
374950	465060
137056	126985
729092	330602
65231	702951
608701	636698
139290	315042
550346	708187
944428	857258
851417	879749
562807	423788
988655	907912
535589	394891
697325	750569
38170	525274
150617	476340
214982	423686
74972	650978
143488	582098
295355	129385
261731	968198
441080	308185
996505	314419
994761	615056
600851	749474
320385	707013
732668	351143
378622	436172
962626	811196
82805	230591
709300	261358
754518	933623
4499	471147
827366	553603
337699	278024
346731	24888
851147	588700
805434	194097
138441	246466
579784	121098
47781	823643
780321	558849
203834	416196
159169	69659
176451	664620
564339	15065
826597	671640
135018	326530
368196	145592
654787	260649
760538	297556
270837	1647
86369	825021
603806	674430
854839	168997
304063	648128
542937	678914
269021	882754
429630	169049
731539	691753
982270	959052
685341	245362
943325	553366
312108	861572
503318	553888
540653	954057
703725	259743
478012	373944
640872	108953
275047	624510
690336	166538
518090	176129
606550	805600
538133	329607
738434	837275
304032	295394
716748	961664
480783	529753
783645	288573
350317	611945
839789	329302
401	352041
682346	804087
311114	379742
614810	411092
864090	295925
996724	395631
664487	852764
817643	617033
656113	962776
712843	818278
534252	265434
275097	766626
467023	281440
862617	426996
893606	894588
852520	207730
698887	537354
673553	454128
283197	808046
207263	319970
127670	916853
473067	55662
221829	734604
258762	178431
141196	22733
199238	251717
945695	684294
624215	27396
591482	563425
742781	484420
562107	769351
289880	285943
853179	502849
274285	539165
505701	695265
598622	733996
469092	619983
859401	19070
930309	889325
702216	734623
736468	784443
101333	485035
470853	388039
898676	195997
93979	59793
484671	360279
882107	94467
290728	536265
390290	465981
548351	129906
538526	637615
438676	23503
753688	760765
126537	640332
660428	48697
778490	745197
847384	203127
973198	228258
940822	957613
552325	313220
702018	749520
351044	844702
219366	697217
334719	847224
175568	949707
870842	114578
118600	27307
387598	157258
211253	623178
699	50585
810510	848382
888373	545449
684519	332426
32359	723435
685875	894123
798695	946856
397298	568722
262700	190835
890814	686427
25960	887687
58042	751542
731070	913722
997964	153168
779419	981003
496786	916427
690307	74811
662723	6780
641686	412232
135457	52914
164627	323563
555754	100987
656333	429513
354543	669376
72048	72257
524902	339776
525436	380899
547329	888034
958309	706944
544826	210605
680884	695524
281661	576883
849109	409512
536361	463858
678337	789215
96626	95032
854089	275499
510108	952031
978074	408913
629204	60029
900324	668670
621232	530721
943544	99854
656499	701276
558849	930412
269100	295933
290014	532455
645607	704634
489561	169390
506859	9501
77580	373701
501081	723716
836947	609266
