139166	310008	99084	17080	892481	850950	783591
695882	885430	388813	222	134970	87247	167400
665382	485225	223011	138614	421223	941036	772712
317037	874666	365256	568973	914948	755448	518367
949015	105380	56192	325692	695110	43232	721811
83934	114719	125815	472589	173146	401711	751905
711085	467111	561385	812846	281489	19952	543046
794278	506627	994476	167713	456479	991069	340706
59665	768173	644986	99407	398044	630311	376106
195230	546174	924297	135033	6076	418378	746350
882278	340952	124888	141457	272410	727397	108873
277106	198285	684901	230416	537444	635925	253558
57507	823884	485817	49386	679021	293594	291672
963122	175472	434729	903589	859708	2739	99235
336076	939649	349079	405674	427025	758018	601376
317648	348472	796913	143623	773017	518327	665031
569142	787053	938104	427755	793770	728898	828241
528337	881497	379948	430647	745656	495892	657624
921929	220384	850657	210031	367306	32716	438035
669021	218459	876089	330142	520987	366536	164706
110752	357200	88104	112498	207009	459227	953030
552621	305615	879041	211847	215067	112052	726192
976925	704022	612661	379328	929203	596145	661328
582378	152534	886545	156893	618948	956636	573165
430459	957707	457457	641678	928490	746157	665226
477111	503302	813449	803110	372387	33173	383872
986875	783214	281883	860126	662319	997771	539306
455331	978534	701320	129504	568131	462381	209830
27219	198920	352232	549926	794714	136457	648670
908572	983393	934922	960860	94784	468393	193810
335672	912339	598123	373131	908697	524356	958065
325103	359075	642719	337020	146838	682820	904990
236604	99681	423312	918548	475135	457936	957394
660885	379701	644799	168001	534347	675272	296635
25116	190823	300063	514193	343949	518416	318846
552603	59356	156095	523409	500159	76868	491395
690841	527621	688724	77179	348422	822384	413164
149117	665398	367743	558055	777301	32885	180313
977453	2569	777614	524110	556403	460774	435420
449663	432221	585834	410901	703581	197584	388817
170720	293436	20721	815193	148479	920508	383729
375846	469952	639921	158729	303014	253674	458502
202422	806433	834723	625217	409769	302791	917497
988175	717405	50624	350431	836065	759569	728081
326200	919987	641909	405177	900345	198905	11187
36008	556701	257663	237672	799142	429600	713089
491486	909644	705011	353596	202748	522377	526289
363423	653871	926664	127845	801489	184799	596098
403683	428316	901300	425710	559714	759032	110963
842197	467208	575446	537943	698974	986403	573319
386653	669383	79557	138717	57126	207850	882040
728627	674729	231188	321378	313727	285533	718568
137206	661859	289559	209065	854313	699304	678633
497749	404864	267260	190135	207662	60090	778328
10868	514872	766378	315811	807771	574775	863860
719822	265586	359819	652377	499048	122127	519024
414883	789431	674025	216384	24144	439217	430243
258180	39539	10245	582966	90912	450261	485143
136622	792702	320147	372386	260352	156224	445751
661090	391859	34475	471846	116788	91997	505551
61584	463123	891831	195315	711462	968908	9103
630954	234244	440198	826778	712163	400098	465309
759321	941654	959438	834248	462534	655281	474339
870797	361939	363942	834660	418757	261997	629517
7494	750505	712688	567619	198056	505917	273513
732571	158016	237458	915880	151332	577319	918316
67305	334854	914660	196743	865001	557309	734695
467643	770661	562690	278428	213580	515486	500374
96236	594238	172292	581014	386692	979507	580824
714414	661144	520180	831022	879742	949590	828208
915633	746425	556252	160050	633994	120803	790846
913979	452152	162598	976038	391034	539568	977551
713493	129732	116936	754353	345389	737979	781121
280507	949638	775206	551439	678384	592307	979803
937211	240477	935236	255106	64258	83872	580172
424933	895645	328094	87641	748205	829742	693931
374210	853615	183688	18058	897455	274980	93986
610288	306235	648020	863356	623004	834105	745026
466652	219753	759225	812582	569633	658072	550124
568238	38127	328402	362209	14890	316355	721197
426794	769846	386920	887925	720043	320026	668936
893513	937993	334930	378597	923123	463882	7007
536188	45773	22905	708880	594893	242583	398197
949357	436783	986397	174807	906578	690730	169041
180864	667251	834032	925661	491875	209284	3956
37670	306507	346365	753587	519482	134519	933152
730992	966185	273629	995113	927746	715733	161941
818014	281208	759064	255862	984849	194422	620523
120638	614166	267101	194736	477428	140616	363411
841231	569091	662273	927964	418083	413570	857875
822885	173453	11949	863839	739968	605687	953043
36041	790100	952254	633955	309977	398329	763190
14892	241035	139055	902749	905827	497160	727494
806716	565950	746113	13081	579748	792385	634902
642444	695812	36907	911832	711409	119990	417957
724351	490382	868036	205498	873194	455528	303974
640681	21073	621331	783424	245030	769737	920575
622989	529767	602823	183024	562508	294637	307870
733422	923429	373821	27885	486491	14869	635550
786886	999824	630967	458105	555399	602037	439278
271632	510981	729170	490785	423997	680159	323539
233344	37758	505629	673771	108156	640342	921933
894511	879567	686895	875272	816260	198166	286129
25273	61029	871626	403372	256947	64653	888703
89477	667434	669473	733410	308022	569364	308272
579744	303772	164771	436043	191852	721056	438132
812323	823533	615436	186894	575512	848183	643616
333179	847259	719884	324679	204018	819887	156778
389158	126418	302637	7454	664176	542712	516689
587549	946476	805203	88010	440526	198895	304293
520232	583335	472901	557380	354052	750080	439427
278532	743052	760095	181093	18140	144639	962337
