290708	445278	483019	620866	123793	747412
535665	153707	361697	914012	253016	620429
956142	549499	75541	380598	158731	134119
712828	586839	205705	99721	195679	652839
777797	944526	771631	935920	79455	945130
664709	192809	960320	571239	191495	894388
164850	547693	260923	934994	529530	834647
370471	17624	386375	878774	319014	952083
392015	265532	382369	132115	133561	73248
812142	192583	707489	101734	979043	491166
28563	893719	693186	251397	419989	237045
696481	739306	560550	217784	172036	824257
15636	552753	670796	1422	184066	804453
222646	968855	143324	404987	973095	972057
717779	830360	122831	510418	208654	762512
617332	244766	193870	398770	628411	49920
354758	994036	616080	384011	443160	696061
5347	375222	139357	569517	510908	188919
531927	310924	906322	91565	701808	995710
200188	76931	190278	267168	342700	194183
669612	181725	780425	76682	909243	848340
169695	111361	774809	48186	662271	862275
691742	167680	583951	102481	985712	857998
96350	974434	838558	41029	319652	951964
357865	519460	679247	338582	112295	177914
387082	223897	153673	579383	474819	550738
472215	382483	175282	251550	649297	125683
991388	166384	864082	212187	464724	836251
43017	116998	153698	238923	304705	773427
894915	716430	756335	947725	509523	839899
715702	483455	705172	222084	677569	633773
58919	824627	4785	881143	936551	153579
860361	683227	757997	935730	327279	628462
100839	617300	265827	186314	454820	571004
32574	618024	530391	314940	288965	391805
103742	681929	945091	450208	881484	154049
861135	51997	371232	822976	644591	57916
887459	681768	117421	14028	274558	886670
101708	709526	415013	94498	791700	395890
740650	591055	311166	416189	892543	96014
441439	497821	223799	839384	172138	242847
879304	997143	900995	700664	69719	820460
94557	402431	799399	900489	585704	313260
349967	567968	780058	96891	609537	22845
858403	5047	527390	418042	736144	716277
581809	266350	388537	161524	831726	822868
25246	253755	505954	696087	137928	742395
261710	206911	110154	394985	832839	699243
205276	455495	309852	76839	972378	812406
647077	96792	616125	604904	347004	282372
822701	574128	269952	787645	20453	773594
122381	83931	663953	821276	580614	689727
846427	486492	339199	850395	687866	225110
52363	658179	864778	562618	172246	881552
445393	705101	659335	86699	9393	380194
793940	458699	193128	742833	996287	990339
999202	636965	87359	566215	574689	947279
846518	323455	632316	424576	823762	935166
211748	546610	314947	461636	574109	937291
491539	603189	860701	824389	752246	946724
82059	921219	611240	682318	867556	40542
696342	711006	471106	828560	244936	934931
600294	699445	927052	261289	90917	813588
731815	954169	150042	362187	720676	164016
65311	405085	947237	470446	677414	30625
160461	182459	860454	122166	595377	802266
831096	490308	273360	532051	10478	658169
436683	964464	631213	247134	3220	189453
996742	528583	992814	341375	338265	497873
92190	628168	498563	121545	528329	905930
207885	456312	28827	206796	108467	249352
96399	940526	974966	782003	961579	374246
469778	122953	784918	876442	213604	909257
822512	57663	872915	585640	893897	279622
18350	244502	989358	627881	106764	323092
404469	651336	698524	72169	369800	427069
997473	817640	216131	232886	757248	648501
166057	484565	597288	507188	517003	240872
545844	188293	797472	203336	890781	608023
386136	57881	306049	874384	405655	159870
256779	50277	272249	535270	311397	907981
953344	144102	837759	112425	45358	338141
504649	317	669683	108861	938028	365437
396290	561796	818993	57484	21485	937055
721805	671660	786782	97584	954418	574368
625821	376218	202278	80622	819312	79537
370318	864577	124584	590362	21593	15427
551194	410851	317103	948265	131629	281760
77413	47344	338361	880558	637709	293824
13910	625476	35729	756567	159366	105366
117452	92537	662338	259758	104588	870730
776316	389254	390505	693075	963258	279927
818398	500120	470834	711571	430339	8315
313173	799793	952563	90444	830036	494319
199823	274587	1544	450638	675367	347071
733721	377241	81929	790991	207780	964035
390479	408810	643326	506000	21827	640467
595411	968251	443253	847746	293033	523400
483743	729460	710322	454905	966597	688750
884140	286531	650464	329627	376069	720397
52903	490247	326129	876655	645879	995445
36664	458536	268522	454987	611010	269718
332163	936092	841438	975476	136043	786980
114091	226052	962206	715143	123793	65495
581185	955814	84530	237952	553752	648623
931439	401440	657000	670818	74032	641940
692368	624181	875595	906843	238988	871327
456822	790147	100430	517065	254722	386744
141826	221120	720028	103675	573971	281894
527501	134487	789154	639238	521951	882630
125641	135682	149326	995718	229802	387742
453644	644363	90099	640747	73023	311059
655350	963359	386123	59190	582768	805604
37171	408003	985234	114438	386989	139713
507165	463702	833289	21147	970149	663928
547104	53787	274932	486176	706220	57765
675506	931492	713577	228511	419500	965244
989387	603166	539977	990788	238989	717249
864031	162287	505965	899743	333392	650881
165803	437346	923670	171227	46691	298460
